text,label
李克强总理出席国务院经济工作会议并发表重要讲话,政治
全国人民代表大会常务委员会召开会议审议法律草案,政治
国家主席习近平会见外国驻华使节,政治
中央经济工作会议在北京召开部署明年经济工作,政治
全国政协十二届五次会议在北京人民大会堂开幕,政治
国务院印发关于推进供给侧结构性改革的意见,政治
外交部发言人就南海问题发表谈话,政治
中央军事委员会举行晋升上将军衔仪式,政治
国家发展改革委召开新闻发布会介绍经济形势,政治
全国人大常委会表决通过环境保护税法,政治
国务院办公厅印发关于创新政府配置资源方式的指导意见,政治
中央纪委监察部召开会议部署党风廉政建设工作,政治
国家主席习近平对俄罗斯进行国事访问,政治
全国安全生产电视电话会议在京召开,政治
国务院发布关于加强食品安全工作的决定,政治
中共中央政治局召开会议分析研究当前经济形势,政治
全国卫生与健康大会在京召开,政治
国务院印发关于加快发展体育产业促进体育消费的若干意见,政治
国家税务总局出台措施支持小微企业发展,政治
中央农村工作会议部署明年农业农村工作,政治
国务院召开全国依法行政工作会议,政治
全国人大常委会审议网络安全法草案,政治
国家主席习近平主持召开中央全面深化改革领导小组会议,政治
国务院部署推进互联网+行动,政治
全国政协召开双周协商座谈会,政治
中国共产党第十九次全国代表大会在京开幕,政治
国家主席习近平出席金砖国家领导人会晤,政治
国务院发布关于积极稳妥降低企业杠杆率的意见,政治
中央财经领导小组召开会议研究经济工作,政治
全国人大常委会表决通过国防交通法,政治
国务院印发关于统筹推进县域内城乡义务教育一体化改革发展的若干意见,政治
国家主席习近平会见香港澳门各界庆祝国家改革开放40周年访问团,政治
中央政治局会议审议中国共产党纪律处分条例,政治
全国宗教工作会议在京召开,政治
国务院印发关于建立完善守信联合激励和失信联合惩戒制度的指导意见,政治
国家主席习近平对美国进行国事访问,政治
中央城镇化工作会议在京举行,政治
全国人大常委会通过关于香港特别行政区行政长官普选问题的决定,政治
国务院发布关于化解产能严重过剩矛盾的指导意见,政治
中央政法工作会议在京召开,政治
国家主席习近平出席亚太经合组织领导人非正式会议,政治
全国人大常委会表决通过反家庭暴力法,政治
国务院印发关于促进云计算创新发展培育信息产业新业态的意见,政治
中央外事工作会议在京召开,政治
国家主席习近平主持召开中央国家安全委员会第一次会议,政治
全国科技创新大会在京召开,政治
国务院发布关于大力推进大众创业万众创新若干政策措施的意见,政治
中央党的群众路线教育实践活动总结大会在京召开,政治
国家主席习近平出席二十国集团领导人峰会,政治
全国人大常委会通过关于废止有关劳动教养法律规定的决定,政治
中央一号文件聚焦三农问题连续聚焦农业农村农民,政治
国务院印发关于加快发展现代职业教育的决定,政治
国家主席习近平访问非洲多国并发表重要演讲,政治
中央全面深化改革委员会召开会议部署改革任务,政治
全国人大常委会表决通过疫苗管理法,政治
国务院发布关于实施健康中国行动的意见,政治
国家主席习近平主持召开中央财经委员会会议,政治
全国教育大会在京召开强调教育优先发展,政治
中央经济工作会议强调六稳六保工作,政治
国家主席习近平出席联合国成立75周年纪念峰会,政治
全国人大常委会表决通过长江保护法,政治
国务院部署新型基础设施建设工作,政治
中央政治局会议研究制定十四五规划建议,政治
国家主席习近平出席世界经济论坛对话会并致辞,政治
全国脱贫攻坚总结表彰大会在京隆重举行,政治
中央一号文件提出全面推进乡村振兴,政治
国务院印发关于加快建立健全绿色低碳循环发展经济体系的指导意见,政治
国家主席习近平出席中国共产党与世界政党领导人峰会,政治
全国人大常委会表决通过个人信息保护法,政治
中央人才工作会议在京召开,政治
国务院部署碳达峰碳中和工作,政治
国家主席习近平出席博鳌亚洲论坛年会开幕式并发表主旨演讲,政治
全国两会在京胜利召开审议通过政府工作报告,政治
中央政治局会议分析研究当前经济形势和经济工作,政治
国家主席习近平出席上海合作组织成员国元首理事会会议,政治
全国人大常委会表决通过黄河保护法,政治
国务院发布关于加强数字政府建设的指导意见,政治
中央统战工作会议在京召开,政治
国家主席习近平出席亚太经合组织第二十九次领导人非正式会议,政治
全国疫情防控工作电视电话会议在京召开,政治
中央农村工作会议强调加快建设农业强国,政治
国家主席习近平出席二十国集团领导人第十七次峰会,政治
全国人大常委会表决通过修订后的野生动物保护法,政治
国务院印发数字中国建设整体布局规划,政治
中央金融工作会议在京召开,政治
国家主席习近平出席中国-中亚峰会并发表主旨讲话,政治
全国生态环境保护大会在京召开,政治
中央经济工作会议部署2024年经济工作,政治
国家主席习近平出席金砖国家领导人第十五次会晤,政治
全国宣传思想文化工作会议在京召开,政治
中央军委主席习近平视察南部战区海军,政治
国家主席习近平出席第三届一带一路国际合作高峰论坛开幕式并发表主旨演讲,政治
华为发布新一代麒麟芯片性能大幅提升,科技
苹果公司发布最新款iPhone手机搭载A17芯片,科技
腾讯发布人工智能大语言模型混元,科技
阿里巴巴推出通义千问大模型助力企业数字化转型,科技
百度文心一言升级至4.0版本对话能力显著增强,科技
字节跳动研发豆包AI大模型应用场景持续拓展,科技
英伟达发布新一代RTX 4090显卡性能提升两倍,科技
AMD推出最新锐龙处理器性能与能效比大幅提升,科技
英特尔发布14代酷睿处理器制程工艺进一步优化,科技
小米发布最新旗舰手机搭载骁龙8 Gen3芯片,科技
OPPO发布折叠屏手机Find N3屏幕技术取得突破,科技
vivo发布X100系列影像能力大幅提升,科技
三星发布Galaxy S24系列手机搭载AI功能,科技
谷歌发布Gemini大模型多模态能力显著增强,科技
微软推出Copilot AI助手深度集成Office全家桶,科技
OpenAI发布GPT-4 Turbo性能提升价格下降,科技
Meta发布Llama 3开源大模型参数达到700亿,科技
亚马逊推出AWS Q企业级AI助手,科技
特斯拉发布全自动驾驶FSD V12版本端到端深度学习,科技
比亚迪发布第五代DM混动技术油耗大幅降低,科技
宁德时代发布凝聚态电池能量密度提升50%,科技
中芯国际实现7纳米制程工艺量产,科技
长江存储推出第四代3D NAND闪存堆叠层数突破200层,科技
京东方发布OLED下一代显示技术分辨率大幅提升,科技
华为发布鸿蒙4.0操作系统生态持续完善,科技
小米发布澎湃OS操作系统开启人车家全生态,科技
阿里云发布通义千问2.5性能提升显著,科技
腾讯云发布行业大模型解决方案助力产业升级,科技
百度发布智能驾驶阿波罗8.0版本,科技
字节跳动推出火山引擎大模型服务平台,科技
商汤科技发布日日新SenseNova大模型体系,科技
旷视科技推出AI生产力平台,科技
科大讯飞发布星火大模型V3.0能力全面提升,科技
360发布智脑大模型聚焦安全领域,科技
京东发布言犀大模型服务零售行业,科技
网易发布玉言大模型应用于游戏与教育,科技
理想汽车发布纯电解决方案800V高压平台,科技
蔚来发布换电3.0技术换电时间缩短至3分钟,科技
小鹏汽车发布XNGP智能辅助驾驶系统,科技
大疆发布最新无人机航拍能力大幅提升,科技
索尼发布新一代PS5 Pro游戏主机性能提升,科技
任天堂发布Switch 2游戏主机搭载最新技术,科技
微软发布Windows 12概念设计AI深度集成,科技
苹果发布Vision Pro头显开启空间计算时代,科技
Meta发布Quest 3VR头显混合现实能力增强,科技
字节跳动推出PICO 4 Pro VR一体机,科技
华为发布Mate 60 Pro手机卫星通话功能引关注,科技
中兴发布Axon 50 Ultra支持三网卫星通信,科技
realme发布GT5 Pro性能旗舰性价比突出,科技
一加发布12手机搭载哈苏影像系统,科技
努比亚发布Z60 Ultra影像旗舰潜望长焦升级,科技
黑鲨发布游戏手机散热技术取得突破,科技
华硕发布ROG游戏手机性能与散热全面升级,科技
联想发布拯救者游戏本搭载最新显卡,科技
戴尔发布XPS笔记本升级OLED屏幕,科技
惠普发布暗影精灵游戏本性能大幅提升,科技
神舟发布战神系列游戏本性价比突出,科技
苹果发布M3芯片Mac性能与能效大幅提升,科技
华为发布MateBook X Pro轻薄本性能提升,科技
小米发布RedmiBook轻薄本性价比突出,科技
荣耀发布MagicBook笔记本多屏协同优化,科技
英特尔发布酷睿Ultra处理器AI能力提升,科技
AMD发布锐龙8000系列处理器核显性能提升,科技
英伟达发布RTX 40 SUPER系列显卡加量不加价,科技
AMD发布RX 7900 XTX显卡对标英伟达旗舰,科技
长江存储致态TiPlus7100固态硬盘性能强劲,科技
金士顿发布新一代DDR5内存频率突破8000MHz,科技
三星发布990 Pro固态硬盘读写速度突破7000MB/s,科技
西部数据发布SN850X固态硬盘游戏性能优化,科技
希捷发布酷玩系列游戏硬盘容量达到8TB,科技
东芝发布企业级机械硬盘容量达到30TB,科技
台积电3纳米制程工艺量产良率提升,科技
三星2纳米制程工艺将于2025年量产,科技
英特尔18A制程工艺追赶台积电,科技
中芯国际N+1制程工艺稳步推进,科技
上海微电子28纳米光刻机交付使用,科技
国产EDA工具取得突破支持7纳米设计,科技
国产CPU龙芯3A6000性能达到国际主流水平,科技
国产GPU景嘉微JM9系列性能大幅提升,科技
海光DCU芯片在超算领域应用广泛,科技
寒武纪发布新一代AI推理芯片性能提升,科技
地平线发布征程5芯片支持高阶自动驾驶,科技
黑芝麻发布华山2芯片自动驾驶算力提升,科技
英伟达发布H100 GPU成为AI训练首选,科技
AMD发布MI300芯片对标英伟达H100,科技
英特尔发布Gaudi 2芯片AI加速能力提升,科技
谷歌发布TPU v5芯片训练大模型效率提升,科技
亚马逊发布Trainium芯片训练成本降低,科技
阿里云发布含光800推理芯片性能强劲,科技
腾讯发布紫霄芯片用于AI推理,科技
百度发布昆仑芯2性能大幅提升,科技
字节跳动研发云端AI芯片,科技
华为发布昇腾910B芯片支撑大模型训练,科技
中国男足世界杯预选赛取得关键胜利,体育
中国女排夺得世界女排联赛冠军,体育
中国乒乓球队包揽世乒赛全部金牌,体育
中国跳水队世界杯再夺多枚金牌,体育
苏炳添打破亚洲纪录晋级奥运百米决赛,体育
全红婵夺得奥运会女子10米跳台金牌,体育
谷爱凌夺得冬奥会自由式滑雪两枚金牌,体育
武大靖夺得短道速滑冬奥会金牌,体育
马龙卫冕奥运会乒乓球男单金牌实现双圈大满贯,体育
陈梦夺得奥运会乒乓球女单金牌,体育
樊振东夺得世乒赛男单冠军,体育
孙颖莎夺得世乒赛女单冠军,体育
